Kalendertag,Absatz
05-06-2014,48
05-06-2014,29
05-06-2014,20
05-06-2014,7
05-06-2014,3
05-06-2014,72
06-06-2014,48
06-06-2014,0
06-06-2014,288
06-06-2014,96
06-06-2014,288
06-06-2014,20
06-06-2014,20
06-06-2014,140
06-06-2014,60
06-06-2014,72
06-06-2014,0
06-06-2014,72
07-06-2014,24
07-06-2014,24
07-06-2014,72
07-06-2014,160
07-06-2014,20
07-06-2014,264
07-06-2014,48
07-06-2014,4
07-06-2014,1
07-06-2014,7
10-06-2014,48
10-06-2014,192
10-06-2014,168
10-06-2014,216
10-06-2014,40
10-06-2014,312
10-06-2014,40
10-06-2014,160
10-06-2014,144
10-06-2014,120
11-06-2014,48
11-06-2014,192
11-06-2014,216
11-06-2014,80
11-06-2014,20
11-06-2014,72
11-06-2014,140
11-06-2014,0
11-06-2014,192
11-06-2014,48
11-06-2014,7
11-06-2014,7
11-06-2014,23
12-06-2014,72
12-06-2014,24
12-06-2014,288
12-06-2014,60
12-06-2014,96
12-06-2014,48
12-06-2014,216
12-06-2014,40
12-06-2014,96
12-06-2014,100
12-06-2014,48
12-06-2014,120
12-06-2014,24
12-06-2014,1
12-06-2014,0
12-06-2014,2
12-06-2014,48
13-06-2014,48
13-06-2014,72
13-06-2014,60
13-06-2014,144
13-06-2014,192
13-06-2014,20
13-06-2014,24
13-06-2014,14
14-06-2014,144
14-06-2014,72
14-06-2014,40
14-06-2014,96
14-06-2014,80
14-06-2014,96
14-06-2014,60
14-06-2014,80
14-06-2014,72
14-06-2014,144
14-06-2014,38
14-06-2014,260
14-06-2014,6
16-06-2014,24
16-06-2014,120
16-06-2014,312
16-06-2014,120
16-06-2014,80
16-06-2014,40
16-06-2014,1
16-06-2014,3
17-06-2014,96
17-06-2014,48
17-06-2014,120
17-06-2014,71
17-06-2014,60
17-06-2014,168
17-06-2014,160
17-06-2014,80
17-06-2014,24
17-06-2014,180
17-06-2014,140
17-06-2014,168
17-06-2014,-1
17-06-2014,-3
17-06-2014,480
18-06-2014,96
18-06-2014,48
18-06-2014,80
18-06-2014,264
18-06-2014,144
18-06-2014,40
18-06-2014,20
18-06-2014,24
18-06-2014,-20
18-06-2014,100
18-06-2014,72
18-06-2014,24
18-06-2014,8
18-06-2014,8
18-06-2014,-432
20-06-2014,120
20-06-2014,60
20-06-2014,192
20-06-2014,168
20-06-2014,40
20-06-2014,72
20-06-2014,48
20-06-2014,96
